City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
481,rantauprapat,2.1,99.8333,296.81,97,97,0.81,ID,1682359716
482,bereket,39.2446,55.5154,301.73,18,36,8.5,TM,1682359717
483,santa barbara,34.7333,-120.0343,287.44,82,75,2.57,US,1682359651
484,scottburgh,-30.2867,30.7532,295.06,88,93,3.12,ZA,1682359717
485,ust'-ilimsk,58.0006,102.6619,270.75,89,100,1.79,RU,1682359717
486,malango,-2.9627,119.9001,292.65,98,100,1.11,ID,1682359718
487,kwang binh,17.4833,106.6,297.39,90,23,0.9,VN,1682359718
488,roquetas de mar,36.7642,-2.6148,295.71,60,19,0.85,ES,1682359719
489,abra pampa,-22.7205,-65.697,290.31,8,0,4.69,AR,1682359719
490,sokoni,-6.4333,39.55,300.8,81,98,5.95,TZ,1682359719
491,sulak,43.2734,47.5146,286.29,79,56,1.61,RU,1682359720
492,broome,42.2506,-75.833,284.83,54,75,2.57,US,1682359720
493,arsen'yev,44.1631,133.2733,273.63,53,66,1.51,RU,1682359720
494,beauharnois,45.3168,-73.8659,282.18,85,100,1.17,CA,1682359721
495,tejar,9.7462,-84.2337,302.18,47,21,3.72,CR,1682359452
496,newman,37.3138,-121.0208,295.5,50,66,0.89,US,1682359721
497,livingston,55.9029,-3.5226,281.4,56,0,3.09,GB,1682359486
498,igarka,67.4667,86.5833,274.31,97,100,9.08,RU,1682359722
499,manokwari,-0.8667,134.0833,299.0,80,53,1.19,ID,1682359722
500,hadibu,12.65,54.0333,301.48,69,54,0.86,YE,1682359722
501,quinhamel,11.8833,-15.85,301.7,50,25,6.08,GW,1682359723
502,barclayville,4.6797,-8.2339,300.57,84,95,2.41,LR,1682359723
503,coyhaique,-45.5752,-72.0662,290.12,45,40,3.09,CL,1682359474
504,paciran,-6.8767,112.3761,299.67,82,71,3.17,ID,1682359724
505,carutapera,-1.195,-46.02,301.68,75,93,3.51,BR,1682359724
506,siwa oasis,29.2041,25.5195,301.25,20,28,3.37,EG,1682359725
507,okhotsk,59.3833,143.3,269.56,84,100,3.23,RU,1682359725
508,highfields,-27.4518,151.9463,287.24,87,76,3.72,AU,1682359725
509,jevargi,17.0167,76.7667,307.96,21,68,3.43,IN,1682359726
510,brokopondo,4.75,-55.1667,300.7,76,97,4.19,SR,1682359726
511,soledade,-28.8183,-52.5103,298.19,34,0,1.79,BR,1682359447
512,hoganas,56.1997,12.558,287.05,64,95,3.13,SE,1682359726
513,bartlesville,36.7473,-95.9808,292.1,32,0,5.36,US,1682359563
514,the pas,53.8251,-101.2541,277.63,52,24,3.43,CA,1682359727
515,hafar al-batin,28.4328,45.9708,303.17,26,94,3.94,SA,1682359727
516,lincheng,19.9078,109.6858,297.61,93,35,3.33,CN,1682359728
517,pallappatti,10.7,77.8833,300.43,68,97,3.35,IN,1682359728
